,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
299,532636,IIFL,IIFL Finance Ltd,201.20,185.00,212.80,98.85
63,500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,201.65,195.05,217.60,146.00
87,500425,AMBUJACEM,AMBUJA CEMENTS LTD.,203.30,197.80,244.00,184.15
353,532953,VGUARD,V-GUARD INDUSTRIES LTD.,204.30,199.40,259.70,184.00
126,500875,ITC,ITC LTD.,204.95,200.30,310.00,200.30
400,539150,PNCINFRA,PNC Infratech Ltd,208.65,194.60,219.40,126.00
240,532144,WELCORP,Welspun Corp Limited,209.30,200.20,233.70,89.30
371,533269,WABAG,VA TECH WABAG LTD.,209.45,200.05,360.60,160.20
33,500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,210.90,197.80,245.35,135.40
449,540755,GICRE,General Insurance Corporation of India,212.05,205.65,333.85,154.00
338,532868,DLF,DLF LTD.,219.25,216.60,266.65,133.90
250,532210,CUB,CITY UNION BANK LTD.,222.00,219.80,249.00,172.00
37,500148,UFLEX,UFLEX LTD.,223.00,217.00,276.25,181.00
358,533088,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LTD.,225.05,223.25,256.00,185.10
195,522074,ELGIEQUIP,ELGI EQUIPMENTS LTD.,227.80,224.65,309.60,220.50
23,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,230.40,222.50,333.45,211.35
76,500355,RALLIS,RALLIS INDIA LTD.,231.30,225.50,246.80,139.10
389,534816,INFRATEL,BHARTI INFRATEL LTD.,236.10,200.70,333.35,175.35
308,532702,GSPL,GUJARAT STATE PETRONET LTD.,243.65,228.75,263.45,149.15
155,507685,WIPRO,WIPRO LTD.,244.80,241.20,301.55,232.35
236,531599,FDC,FDC LTD.,245.05,237.75,265.00,148.20
144,505537,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,247.10,238.65,489.75,203.70
192,519600,CCL,CCL PRODUCTS (INDIA) LTD.,247.70,234.30,306.40,180.55
175,512599,ADANIENT,ADANI ENTERPRISES LTD.,251.85,245.40,258.50,113.00
184,515030,ASAHIINDIA,ASAHI INDIA GLASS LTD.,254.00,239.35,282.75,170.00
0,500003,AEGISLOG,AEGIS LOGISTICS LTD.,257.70,246.95,257.70,160.05
287,532522,PETRONET,PETRONET LNG LTD.,260.80,254.85,302.00,211.60
160,509488,GRAPHITE,GRAPHITE INDIA LTD.,266.90,260.05,482.40,255.00
460,541301,ORIENTELEC,Orient Electric Ltd,268.65,257.55,275.00,126.10
262,532321,CADILAHC,CADILA HEALTHCARE LTD.,269.00,261.30,352.30,206.45
394,535755,ABFRL,Aditya Birla Fashion and Retail Ltd,270.50,259.55,281.15,180.10
106,500620,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,276.05,269.00,369.35,212.20
228,531162,EMAMILTD,EMAMI LTD.-$,284.45,266.50,417.70,246.00
461,541336,INDOSTAR,Indostar Capital Finance Ltd,286.00,281.75,442.85,166.00
351,532942,KNRCON,KNR CONSTRUCTIONS LTD.,286.35,266.00,311.05,187.00
49,500228,JSWSTEEL,JSW STEEL LTD.,289.05,281.10,313.40,201.90
403,539336,GUJGAS,Gujarat Gas Ltd,290.00,277.20,313.45,116.00
417,539876,CROMPTON,Crompton Greaves Consumer Electricals Ltd,299.00,281.70,301.45,192.00
237,531642,MARICO,MARICO LTD.,300.70,292.00,403.70,292.00
391,535322,REPCOHOME,REPCO HOME FINANCE LTD.,302.60,288.75,481.40,269.00
288,532523,BIOCON,BIOCON LTD.,304.05,295.10,320.48,211.30
402,539268,SYNGENE,Syngene International Ltd,307.55,304.65,368.10,280.00
